name,isin,symbol
UNITED LABELS O.N.,DE0005489561,ULC
MASTERFLEX O.N.,DE0005492938,MZX
BORUSSIA DORTMUND,DE0005493092,BVB
HYPOPORT AG,DE0005493365,HYQ
EQS GROUP AG NA O.N.,DE0005494165,EQS
CURASAN AG,DE0005494538,CUR
HOLIDAYCHECK GRP AG,DE0005495329,HOC
GERATHERM O.N.,DE0005495626,GME
DATA MODUL AG O.N.,DE0005498901,DAM
A.SPRINGER SE VNA,DE0005501357,SPR
DT.GRUNDST.AUKT.AG,DE0005533400,DGR
DISKUS WERKE AG,DE0005538607,DIS
DRILLISCH AG O.N.,DE0005545503,DRI
DRAEGERWERK ST.A.O.N.,DE0005550602,DRW8
DRAEGERWERK VZO O.N.,DE0005550636,DRW3
DEUTSCHE POST AG NA O.N.,DE0005552004,DPW
DT.TELEKOM AG NA,DE0005557508,DTE
PARAGON AG,DE0005558696,PGN
DUERR AG O.N.,DE0005565204,DUE
UMWELTBANK AG O.N.,DE0005570808,UBK
DIERIG HOLDING AG O.N.,DE0005580005,DIE
EASY SOFTWARE AG,DE0005634000,ESY
EDEL AG O.N.,DE0005649503,EDL
EINHELL GERMANY VZO O.N.,DE0005654933,EIN3
ECKERT+ZIEGLER AG O.N.,DE0005659700,EUZ
EVOTEC AG O.N.,DE0005664809,EVT
ELMOS SEMICONDUCTOR AG,DE0005677108,ELG
SMT SCHARF AG,DE0005751986,S4A
LS TELCOM AG,DE0005754402,LSX
SOFTSHIP AG O.N.,DE0005758304,SFO
INIT INNOVATION O.N.,DE0005759807,IXX
FIELMANN AG O.N.,DE0005772206,FIE
FRAPORT AG FFM.AIRPORT,DE0005773303,FRA
FORTEC ELEKTRO. O.N.,DE0005774103,FEV
FORIS AG,DE0005775803,FRS
FRESENIUS SE+CO.KGAA O.N.,DE0005785604,FRE
FRESEN.MED.CARE KGAA O.N.,DE0005785802,FME
FUCHS PETROLUB SE O.N.,DE0005790406,FPE
FUCHS PETROL.SE VZO O.N.,DE0005790430,FPE3
GFT TECHNOLOGIES SE,DE0005800601,GFT
DEUTSCHE BOERSE NA O.N.,DE0005810055,DB1
ECOTEL COMMUNICATION AG,DE0005854343,E4C
MS INDUSTRIE AG,DE0005855183,MSAG
INVISION AG,DE0005859698,IVX
INTICA SYSTEMS AG,DE0005874846,IS7
GFK SE O.N.,DE0005875306,GFK
DMG MORI AG O.N.,DE0005878003,GIL
GRAMMER AG O.N.,DE0005895403,GMM
BILFINGER SE O.N.,DE0005909006,GBF
YOC AG O.N.,DE0005932735,YOC
ISHARES MDAX UCITS ETF,DE0005933923,EXS3
ISHS CORE DAX UCITS ETF,DE0005933931,EXS1
ISH.STOXX EUROPE 50 U.ETF,DE0005933949,EXW3
ISHARES EO STOXX 50 U.ETF,DE0005933956,EXW1
ISHARES SLI UCITS ETF DE,DE0005933964,EXI1
ISHARES TECDAX UCITS ETF,DE0005933972,EXS2
ISH.S.EUR.LARGE 200 U.ETF,DE0005933980,EXSC
ISH.S.EUROP.MID 200 U.ETF,DE0005933998,EXSD
